"archive","Available To Vector Store","Chunk Overlap","Chunk Size","date","Date display","Name","notes","Organization","parent","Related calendar items","URL"
"","yes","","","Mar 3, 2024 5:00 pm","Full date","Insurance Rating Criteria - Fitch","","1710751554724x364755598470021100","1712750815166x966770815617728500","","https://www.fitchratings.com/research/insurance/insurance-rating-criteria-04-03-2024"
"","yes","","","Dec 4, 2024 3:00 am","Month, Year","Instructions and Guidance on the Application of the Prudent Person Principle","In response to structural shifts in insurers' business models, including increased allocation to complex, illiquid, and hard-to-value assets, the Bermuda Monetary Authority (BMA) has increased its supervisory oversight. In this latest round, the BMA proposes [color=rgb(31, 41, 157)][url=https://cdn.bma.bm/documents/2024-12-04-13-09-32-Consultation-Paper---Proposed-Instructions-and-Guidanceon-the-Application-of-the-Prudent-Person-Principle.pdf]Instructions and Guidance on the Application of the Prudent Person Principle[/url][/color] (PPP), building on the existing PPP implementation requirements. The PPP requires that an insurer only assume investment risks that it can properly identify, measure, respond to, monitor, control, and report on while considering its capital requirements and adequacy, short-term and long-term liquidity requirements, and policyholder obligations. Key points of the proposal include:
[ml][ul][li indent=0 align=left][b]Investment strategy.[/b] Insurers must adopt investment strategies prioritizing capital preservation and returns while aligning with policyholder obligations and liquidity needs.[/li][li indent=0 align=left][b]Investment risk management.[/b] A robust framework for managing investment risks, including stress testing and monitoring concentrations, liquidity mismatches, and derivatives usage.[/li][li indent=0 align=left][b]Governance.[/b] Boards and senior management are responsible for overseeing compliance with PPP, with a particular focus on governance structures, conflicts of interest, and risk monitoring.[/li][li indent=0 align=left][b]Outsourcing of investment-related services.[/b] When investment management is outsourced, insurers must ensure adherence to the PPP by external asset managers and retain adequate in-house expertise.[/li][li indent=0 align=left][b]Asset-Liability Matching.[/b] Ensuring investments align with liabilities’ nature, liquidity, and duration.[/li][li indent=0 align=left][b]Risk concentration, risk accumulation, and diversification. [/b]An insurer’s investment policy and limits should be such that individual investments and exposures to different asset classes and risk factors are held and maintained at prudent levels.[/li][li indent=0 align=left][b]Complex and non-publicly traded assets[/b]. In considering investing in complex investments, insurers should comprehensively assess the inherent risks that may be present, including the heightened risk of large, sudden, or unexpected losses due to limited transparency and information flow, volatility misestimation, and difficulties in identifying and reflecting changes in risk profile before significant deterioration.[/li][li indent=0 align=left][b]Solvency self-assessment and group solvency self-assessment. [/b]Insurers’ own risk and solvency self-assessment should be evidence and attest to their application of PPP and the considered impact on their solvency and liquidity positions.[/li][li indent=0 align=left][b]Use of derivatives and other financial instruments. [/b]An insurer choosing to engage in derivative activities should clearly define its objectives, investment and derivative strategy, governance mechanism, and derivative use policies and processes. Derivatives should be considered in the context of a prudent overall asset-liability management strategy.[/li][/ul][/ml]","1710410940363x500047838171365400","1733356324022x269517899716886530","","https://cdn.bma.bm/documents/2024-12-04-13-09-32-Consultation-Paper---Proposed-Instructions-and-Guidanceon-the-Application-of-the-Prudent-Person-Principle.pdf"
"","yes","","","Dec 4, 2024 3:00 am","Month, Year","Insurance Group Supervision Framework","The Bermuda Monetary Authority (BMA) is proposing significant enhancements to its [color=rgb(31, 41, 157)][url=http://file///C:/Users/amnon/Downloads/2024-12-04-16-17-14-Consultation-Paper---Proposed-Enhancements-to-the-Insurance-Group-Supervision-Framework-Package-Current.pdf][i]Insurance Group Supervision Framework[/i][/url][/color] to align more closely with global standards, including the International Association of Insurance Supervisors (IAIS) Common Framework (ComFrame) and Insurance Core Principles (ICPs). Key aspects of the consultation paper (i.e., request for comment) include:
[ml][ul][li indent=0 align=left][b]Mandatory Group Supervision. [/b]The BMA will enforce mandatory group supervision if the ultimate parent entity of an insurance group is incorporated in Bermuda and oversees insurance operations both locally and abroad. This moves towards a direct supervision model, focusing on the parent entity.[/li][li indent=0 align=left][b]Definition and Supervision of Insurance Holding Companies. [/b]The proposal defines an [i]insurance holding company[/i] as any Bermuda-incorporated entity holding stakes in insurers. The BMA will directly regulate these entities when deemed critical to the group's financial health.[/li][li indent=0 align=left][b]Transition from Designated Insurers. [/b]The current framework uses a hybrid model, where group supervision often operates through a [i]designated insurer.[/i] The proposal suggests phasing out this approach, giving the BMA direct powers over parent or holding companies​.[/li][li indent=0 align=left][b]Direct Regulatory Powers. [/b]The proposal includes a robust set of powers for direct oversight, ensuring compliance, and addressing risks associated with insurance groups and their holding companies​.[/li][/ul][/ml]","1710410940363x500047838171365400","1733356504355x600277947435188200","","http://file///C:/Users/amnon/Downloads/2024-12-04-16-17-14-Consultation-Paper---Proposed-Enhancements-to-the-Insurance-Group-Supervision-Framework-Package-Current.pdf"
"","yes","","","Mar 10, 2025 3:00 am","Full date","Accounting Practices & Procedures Manual - March 2025","","1709122405701x990044753610408000","1741709002439x242161652205092860","","https://content.naic.org/sites/default/files/publication-app-manual.pdf"
"","yes","","","Sep 9, 2025 3:00 am","Full date","Annual Statement Instructions - Life - 2025","","1709122347806x384034701129023500 , 1709122405701x990044753610408000 , 1709122296311x294899783514980350","1757461129552x166127568628219900","","https://content.naic.org/sites/default/files/publication-asi-lua-25.pdf"
"","yes","","","Sep 9, 2025 3:00 am","Full date","Annual Statement Instructions - Health - 2025","","1709122347806x384034701129023500 , 1709122405701x990044753610408000 , 1709122296311x294899783514980350","1757461158332x787362450577555500","","https://content.naic.org/sites/default/files/publication-asi-heaa-25.pdf"
"","yes","","","Sep 9, 2025 3:00 am","Full date","Annual Statement Instructions - P&C - 2025","","1709122347806x384034701129023500 , 1709122405701x990044753610408000 , 1709122296311x294899783514980350","1757461160234x854233493817262000","","https://content.naic.org/sites/default/files/publication-asi-pua-25.pdf"
"","yes","","","Jan 1, 2026 3:00 am","Year","Valuation Manual - 2026","","","1761948321999x455023323637350400","","https://content.naic.org/sites/default/files/pbr_data_valuation_manual_future_edition.pdf"
"","yes","","","Nov 5, 2025 3:00 am","Year","2025 RBC Forecasting and Instructions-Health","","1709116945437x161688129805221900","1762349517658x796642620356427800","",""
"","yes","","","Nov 5, 2025 3:00 am","Year","2025 RBC Forecasting and Instructions-Life ","","1709116945437x161688129805221900","1762349520406x412031781631950850","",""
